ID, A1, A2, A3, A4, A5, A6, A7, A8, A9, A11, A12, A13, A14, A15, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14,Sex, Age,Class, school every day?, share phone with family?, electricity at home?, parents rules phone?, Main purpose of phone use
1,1,3,1,3,3,4,4,3,3,3,4,2,1,3,4,2,2,1,4,4,4,4,4,1,2,4,1,4,4,6,1,2,3,4,5,6,3,6,0,7,Female,12,7,0,0,0,0,Communication
1,1,4,4,3,2,1,4,2,1,1,3,2,1,3,1,1,4,1,4,1,4,4,1,4,3,1,2,1,3,5,5,5,1,3,1,1,1,1,0,0,Female,11,7,0,0,0,1,Music
4,1,4,3,,1,2,4,1,3,2,4,4,1,1,4,1,3,2,4,1,4,1,1,4,3,4,7,7,6,7,5,7,6,4,1,1,1,5,0,0,Female,13,7,0,0,0,0,Games
4,3,,2,4,1,4,1,3,4,4,1,1,2,1,4,3,4,1,4,3,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Female,12,7,0,0,0,,Games
1,1,1,2,1,3,2,2,2,2,1,2,1,2,3,3,1,2,1,2,1,2,2,2,2,1,2,1,4,4,3,2,3,1,1,1,1,3,1,0,0,Female,12,7,1,0,0,0,Music
4,,2,4,1,2,1,3,2,2,1,4,2,3,,4,3,3,4,4,3,4,2,3,4,2,3,6,6,4,5,4,6,5,1,4,4,4,1,6,7,Male,17,7,0,1,0,0,School
4,4,3,4,,1,1,4,1,1,4,1,3,1,3,4,3,1,2,4,2,4,3,1,4,3,4,3,5,6,2,3,1,4,2,2,,4,5,,,Male,14,7,1,0,1,1,Games
4,2,2,4,3,2,3,4,2,1,3,4,2,2,3,4,3,1,2,3,4,2,3,3,2,3,1,2,3,3,4,3,5,1,3,6,2,4,4,0,0,Female,12,7,0,0,1,0,Games
4,4,4,4,1,4,4,4,1,1,4,4,1,4,4,4,4,1,1,4,4,4,1,4,4,,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Female,15,7,0,1,0,0,Music
4,1,2,4,,1,2,1,1,4,2,1,1,2,1,4,1,4,1,4,3,3,2,3,,2,,4,3,7,5,2,5,,3,2,2,5,2,0,0,Female,12,7,0,0,0,0,Games
,4,1,4,2,2,3,1,2,1,1,3,1,2,4,1,2,3,2,3,2,3,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Male,,7,,,,,
3,4,2,1,4,,1,3,4,3,1,2,1,1,1,4,2,4,1,4,3,2,4,4,3,4,4,1,1,2,3,2,,4,1,3,1,5,1,0,0,Female,12,7,0,0,0,0,Communication
2,3,4,3,4,2,2,,4,1,3,2,,4,1,4,3,2,1,4,1,3,4,4,2,1,1,1,4,2,4,,,3,1,,,5,4,1,6,Female,12,7,0,0,1,0,Games
11,1,1,1,1,1,1,1,1,1,2,4,1,1,2,4,1,3,1,4,3,4,4,4,,3,,7,1,1,5,6,2,1,,2,1,5,1,0,0,Female,13,7,0,0,1,1,Games
11,3,2,2,4,4,5,5,5,5,5,3,3,3,4,3,3,3,3,5,5,5,5,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Female,14,7,0,1,0,1,School
4,4,4,4,3,4,4,4,4,4,4,3,2,1,4,4,4,1,,4,3,4,4,,,,,2,3,6,7,6,7,1,4,5,5,6,6,0,0,Male,13,7,0,1,0,0,Games
4,4,4,1,1,4,1,1,1,,,1,1,,,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,12,20,Female,12,7,0,0,0,1,Games
4,2,1,3,3,2,3,4,1,4,2,3,4,1,2,4,1,3,3,4,4,2,4,4,4,4,4,4,6,7,7,6,7,5,1,6,5,4,2,,,Female,13,7,0,0,0,0,School
4,4,2,4,,4,1,4,1,,1,4,4,4,4,4,4,3,1,4,2,4,4,4,4,3,4,4,6,,,7,,2,2,6,5,1,7,0,0,Female,12,7,0,0,0,,Music
1,1,1,1,3,2,4,1,3,2,4,3,2,1,4,4,2,2,1,3,3,1,1,3,2,1,1,1,7,5,4,6,4,1,5,4,3,4,5,0,0,Female,,7,0,1,1,1,"School, Communication, Games, Social media, Music, Other"
4,4,1,4,4,4,4,1,1,4,4,1,1,4,1,4,1,4,1,4,1,4,4,1,4,1,4,6,4,6,5,7,3,,,7,6,,3,0,4,Male,11,7,0,0,0,0,Social media
4,3,1,4,1,4,1,3,1,4,1,4,1,4,4,4,1,2,1,2,1,4,4,4,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Female,13,7,0,,0,0,Social media
4,1,2,1,3,1,1,1,1,1,1,1,,1,1,1,1,2,2,3,3,4,4,1,2,2,4,2,7,4,3,7,1,1,4,5,5,6,6,0,0,Female,13,7,0,0,1,0,Other
4,1,1,1,2,3,2,4,1,4,1,2,2,1,3,1,4,4,4,1,2,1,2,1,2,4,4,1,2,4,1,7,5,3,,3,6,1,5,0,0,Female,11,7,0,0,0,0,School
4,4,1,4,1,4,3,1,1,4,1,2,3,1,3,4,2,4,1,4,2,4,4,1,4,2,2,4,5,,7,7,5,5,6,1,3,5,6,,,Female,,7,0,1,0,1,Music
2,3,4,3,4,4,3,3,2,2,4,2,3,3,1,2,2,3,3,4,3,4,3,3,2,3,2,1,2,6,7,6,4,,3,3,2,6,5,11,,Female,15,7,0,0,1,0,Social media
3,1,3,3,2,1,2,4,1,3,2,3,1,2,4,4,2,1,2,4,2,4,2,4,4,2,2,6,5,4,4,6,1,2,1,4,3,7,4,10,,Female,12,7,0,0,1,0,Music
1,2,3,1,3,1,4,1,4,2,4,2,1,2,4,4,1,3,4,3,4,1,1,4,4,1,3,5,5,5,7,5,3,1,1,4,1,5,1,,,Female,15,7,0,1,0,1,School
